tilltalsnamn,2014,2015,2016,2017,2018,2019
Altin,6,11,5,0,5,6
Altina,0,0,0,0,0,0
Alton,0,0,6,0,3,3
Altrina,0,0,0,0,0,0
Alula,0,0,0,0,0,0
Alva,509,519,489,499,444,468
Alwa,25,25,19,13,22,28
Alvah,0,0,0,0,2,0
Alva-Li,0,0,5,0,0,0
Alvalie,0,0,0,0,0,0
Alva-Lo,0,0,0,0,0,0
Alvan,0,0,0,0,0,0
Alvar,103,105,122,116,118,127
Alwar,3,0,0,2,0,0
Alvari,0,0,0,0,0,0
Alvaro,0,0,0,0,0,0
Álvaro,0,0,2,2,0,0
Alve,109,95,97,98,125,132
Alwe,0,4,3,4,8,8
Alveena,0,0,0,0,0,0
Alven,0,2,2,0,0,0
Alvhild,0,0,0,0,0,0
Alvi,0,3,2,4,0,2
Alvia,0,0,0,0,0,0
Alvida,3,3,0,0,2,0
Alvie,0,0,0,0,2,0
Alvilda,0,0,0,0,0,0
Alvilde,0,0,0,0,2,2
Alvin,271,272,219,187,182,183
Alwin,50,50,32,34,36,42
Alvina,18,15,23,17,11,16
Alwina,0,0,0,0,0,0
Alvine,2,0,0,0,0,0
Alvira,2,3,0,0,3,7
Alvis,3,0,2,4,0,0
Alvy,0,0,0,0,0,0
Alx,0,0,0,0,0,0
Aly,2,0,0,0,0,0
Alya,2,2,2,6,7,7
Alyaa,0,0,0,0,0,0
Alyah,2,0,0,0,0,0
Alyan,0,0,0,0,0,0
Alyas,0,0,2,0,0,0
Alyona,0,0,0,2,0,0
Alysha,0,0,0,0,0,0
Alyssa,14,11,9,5,7,7
Amaal,0,4,4,0,0,2
Amaan,0,0,0,2,0,2
Amaani,0,2,0,0,2,2
Amaar,0,0,2,0,0,0
Amadea,0,0,0,0,0,0
Amadeo,3,2,2,3,2,5
Amadeus,47,50,52,54,46,39
Amadeuz,3,3,0,0,0,3
Amadou,0,0,0,3,0,3
Amaia,0,0,0,0,0,0
Amal,14,13,13,19,21,23
Amala,0,0,0,0,0,0
Amalia,22,18,17,25,26,16
Amalie,0,0,0,0,5,2
Amalthea,2,0,0,0,0,0
Aman,0,3,3,8,5,7
Amanda,323,275,215,173,157,122
Amandine,0,0,2,0,0,0
Amandus,15,10,15,10,13,8
Amani,5,5,7,4,7,14
Amaniel,0,2,0,0,0,0
Amanuel,2,0,3,5,5,8
Amany,0,0,0,0,0,0
Amar,14,28,16,20,20,16
Amara,2,4,0,5,0,2
Amarachi,0,0,2,0,0,0
Amarah,0,0,0,0,2,0
Amari,0,0,0,0,2,0
Amaris,0,0,0,3,0,2
Amaro,2,3,0,0,0,0
Amaru,0,0,0,0,0,2
Amatullah,0,0,0,0,0,2
Amaya,5,3,3,2,8,9
Amayah,0,0,0,0,0,0
